operator,input_shapes,input_dtypes,call_count
aten::as_strided,"[[33554432],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",4059
aten::slice,"[[33554432],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",4059
aten::as_strided,"[[64],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",4028
aten::slice,"[[64],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",4028
aten::select,"[[64,1],[],[]]","[""int"",""Scalar"",""Scalar""]",4015
aten::copy_,"[[64,1],[64,1],[]]","[""int"",""int"",""Scalar""]",3964
aten::copy_,"[[3,64],[3,64],[]]","[""long int"",""long int"",""Scalar""]",3960
aten::copy_,"[[8192,2048],[8192,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",3782
aten::zeros,"[[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""",""Scalar""]",3697
aten::_local_scalar_dense,[[]],"[""int""]",3459
aten::item,[[]],"[""int""]",3459
aten::as_strided,"[[3,8193],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",3266
aten::slice,"[[3,8193],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",3266
aten::as_strided,"[[8192],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",3219
aten::slice,"[[8192],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",3219
aten::as_strided,"[[64],[],[],[]]","[""bool"",""ScalarList"",""ScalarList"",""Scalar""]",3125
aten::slice,"[[64],[],[],[],[]]","[""bool"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",3125
aten::fill_,"[[0,1],[]]","[""int"",""Scalar""]",3087
aten::fill_,"[[0],[]]","[""int"",""int""]",3072
aten::select,"[[65],[],[]]","[""int"",""Scalar"",""Scalar""]",3024
aten::to,"[[64],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""""]",2972
aten::view,"[[64],[]]","[""long int"",""ScalarList""]",2972
aten::copy_,"[[64],[64],[]]","[""long int"",""long int"",""Scalar""]",2970
aten::promote_types,"[[],[]]","[""Scalar"",""Scalar""]",2880
aten::as_strided,"[[8192,4096],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",2790
aten::slice,"[[8192,4096],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",2790
aten::as_strided,"[[2048,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",2640
aten::as_strided,"[[536870912],[],[],[]]","[""unsigned char"",""ScalarList"",""ScalarList"",""Scalar""]",2640
aten::numpy_T,"[[2048,2048]]","[""c10::BFloat16""]",2640
aten::permute,"[[2048,2048],[]]","[""c10::BFloat16"",""ScalarList""]",2640
aten::slice,"[[536870912],[],[],[],[]]","[""unsigned char"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",2640
aten::view,"[[16777216],[]]","[""c10::BFloat16"",""ScalarList""]",2551
aten::flatten,"[[134217728],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",2480
aten::reshape,"[[134217728],[]]","[""c10::BFloat16"",""ScalarList""]",2480
aten::view,"[[268435456],[]]","[""unsigned char"",""Scalar""]",2480
aten::view,"[[8192,256],[]]","[""c10::BFloat16"",""ScalarList""]",2480
aten::detach,[[64]],"[""int""]",2051
aten::resolve_conj,[[64]],"[""int""]",2051
aten::resolve_neg,[[64]],"[""int""]",2051
aten::to,"[[64],[],[],[],[],[],[],[]]","[""int"",""Scalar"",""Scalar"","""","""",""Scalar"",""Scalar"",""""]",2051
aten::_to_copy,"[[64],[],[],[],[],[],[]]","[""int"",""Scalar"","""","""","""",""Scalar"",""""]",1984
aten::copy_,"[[64],[64],[]]","[""long int"",""int"",""Scalar""]",1984
aten::to,"[[64],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""""]",1984
aten::reshape,"[[64,2,124160],[]]","[""c10::BFloat16"",""ScalarList""]",1982
aten::reshape,"[[64],[]]","[""long int"",""ScalarList""]",1981
aten::as_strided,"[[2048,32],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",1980
aten::as_strided,"[[2048,6144],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",1980
aten::as_strided,"[[3659,16,128,128],[],[],[]]","[""float"",""ScalarList"",""ScalarList"",""""]",1980
aten::numpy_T,"[[2048,32]]","[""c10::BFloat16""]",1980
aten::numpy_T,"[[2048,6144]]","[""c10::BFloat16""]",1980
aten::permute,"[[2048,32],[]]","[""c10::BFloat16"",""ScalarList""]",1980
aten::permute,"[[2048,6144],[]]","[""c10::BFloat16"",""ScalarList""]",1980
aten::to,"[[4096,8192],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",1860
aten::_to_copy,"[[3],[],[],[],[],[],[]]","[""int"",""Scalar"","""","""","""",""Scalar"",""""]",1843
aten::copy_,"[[3],[3],[]]","[""long int"",""int"",""Scalar""]",1843
aten::to,"[[3],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""""]",1843
aten::view,"[[3],[]]","[""long int"",""ScalarList""]",1742
aten::reshape,"[[3],[]]","[""long int"",""ScalarList""]",1741
aten::to,"[[3,16,128,128],[],[],[],[]]","[""float"",""Scalar"",""Scalar"",""Scalar"",""""]",1740
aten::as_strided,"[[3659,2,1056,1,256],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",1320
aten::copy_,"[[16777216],[16777216],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",1271
symm_mem::two_shot_all_reduce_,"[[16777216],[],[]]","[""c10::BFloat16"","""",""""]",1271
vllm::all_reduce,"[[8192,2048],[]]","[""c10::BFloat16"",""""]",1271
aten::as_strided,"[[8192,8],[],[],[]]","[""float"",""ScalarList"",""ScalarList"",""Scalar""]",1240
aten::as_strided,"[[8192,8],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",1240
aten::empty_like,"[[8192,1],[],[],[],[],[]]","[""c10::BFloat16"",""Scalar"","""","""",""Scalar"",""""]",1240
aten::linear,"[[8192,2048],[1,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",1240
aten::linear,"[[8192,2048],[256,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",1240
aten::linear,"[[8192,2048],[512,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",1240
aten::linear,"[[8192,256],[2048,256],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",1240
aten::mm,"[[8192,2048],[2048,2048],[8192,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",1240
aten::mul,"[[8192,1],[8192,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",1240
aten::result_type,"[[8192,1],[8192,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",1240
aten::sigmoid,"[[8192,1]]","[""c10::BFloat16""]",1240
aten::slice,"[[8192,8],[],[],[],[]]","[""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",1240
aten::slice,"[[8192,8],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",1240
aten::view,"[[33554432],[]]","[""c10::BFloat16"",""ScalarList""]",1240
aten::view,"[[65536,256],[]]","[""c10::BFloat16"",""ScalarList""]",1240
aten::view,"[[8192,1],[]]","[""c10::BFloat16"",""ScalarList""]",1240
aten::view,"[[8192,512],[]]","[""c10::BFloat16"",""ScalarList""]",1240
aten::zero_,"[[8192,1,2048]]","[""c10::BFloat16""]",1240
triton_poi_fused_mul_silu_slice_0,"[[8192,512],[8192,256],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",1240
vllm::flashinfer_trtllm_fused_allreduce_norm,"[[8192,2048],[8192,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",1240
vllm::moe_forward_shared,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",1240
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"",""Scalar"","""",""Scalar"",""""]",1190
aten::as_strided,"[[64],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""""]",1058
aten::index,"[[64],[]]","[""int"",""""]",1058
aten::fill_,"[[64],[]]","[""int"",""Scalar""]",1057
aten::flatten,"[[64,32768],[],[]]","[""int"",""Scalar"",""Scalar""]",1057
aten::lift_fresh,[[]],"[""bool""]",1057
aten::view,"[[64,32768],[]]","[""int"",""ScalarList""]",1057
aten::copy_,"[[0],[],[]]","[""bool"",""bool"",""Scalar""]",1029
aten::fill_,"[[0,32],[]]","[""int"",""Scalar""]",1029
aten::fill_,"[[0],[]]","[""bool"",""bool""]",1029
aten::lt,"[[64],[64]]","[""int"",""int""]",1008
aten::as_strided,"[[64,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",1007
aten::as_strided,"[[64,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",1007
aten::index,"[[64,2048],[]]","[""c10::BFloat16"",""""]",1007
aten::slice,"[[64,2048],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",1007
aten::view,"[[64,124160],[]]","[""c10::BFloat16"",""ScalarList""]",992
aten::_to_copy,"[[64,1],[],[],[],[],[],[]]","[""int"",""Scalar"",""Scalar"","""","""",""Scalar"",""""]",991
aten::_to_copy,"[[64,248320],[],[],[],[],[],[]]","[""c10::BFloat16"",""Scalar"","""","""","""",""Scalar"",""""]",991
aten::_to_copy,"[[64],[],[],[],[],[],[]]","[""long int"",""Scalar"","""","""","""",""Scalar"",""""]",991
aten::_unsafe_view,"[[64,2,124160],[]]","[""c10::BFloat16"",""ScalarList""]",991
aten::add,"[[64],[64],[],[64]]","[""int"",""int"",""Scalar"",""int""]",991
aten::add,"[[64],[64],[]]","[""int"",""int"",""Scalar""]",991
aten::alias,"[[64,248320]]","[""c10::BFloat16""]",991
aten::argmax,"[[64,248320],[],[]]","[""float"",""Scalar"",""Scalar""]",991
aten::as_strided,"[[2,64,124160],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",991
aten::as_strided,"[[64,1],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""""]",991
aten::as_strided,"[[64,248320],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",991
aten::clone,"[[64,2,124160],[]]","[""c10::BFloat16"",""Scalar""]",991
aten::copy_,"[[64,2,124160],[64,2,124160],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",991
aten::copy_,"[[64,248320],[64,248320],[]]","[""float"",""c10::BFloat16"",""Scalar""]",991
aten::copy_,"[[64,32],[64,32],[]]","[""int"",""int"",""Scalar""]",991
aten::copy_,"[[64],[64],[]]","[""bool"",""bool"",""Scalar""]",991
aten::copy_,"[[64],[64],[]]","[""int"",""long int"",""Scalar""]",991
aten::empty_like,"[[64,2,124160],[],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"","""","""",""Scalar""]",991
aten::lift_fresh,[[64]],"[""int""]",991
aten::linear,"[[64,2048],[124160,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",991
aten::movedim,"[[2,64,124160],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",991
aten::movedim,"[[2,64,124160],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList""]",991
aten::permute,"[[2,64,124160],[]]","[""c10::BFloat16"",""ScalarList""]",991
aten::reshape,"[[128,124160],[]]","[""c10::BFloat16"",""ScalarList""]",991
aten::reshape,"[[64],[]]","[""int"",""ScalarList""]",991
aten::squeeze,"[[64,1],[]]","[""long int"",""Scalar""]",991
aten::sub,"[[64],[],[]]","[""int"",""long int"",""Scalar""]",991
aten::to,"[[64,1],[],[],[],[],[],[],[]]","[""int"",""Scalar"",""Scalar"","""","""",""Scalar"",""Scalar"",""""]",991
aten::to,"[[64,248320],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",991
aten::unsqueeze,"[[64],[]]","[""int"",""Scalar""]",991
aten::view,"[[128,124160],[]]","[""c10::BFloat16"",""ScalarList""]",991
aten::view,"[[64,2,124160],[]]","[""c10::BFloat16"",""ScalarList""]",991
aten::view,"[[64,2048],[]]","[""c10::BFloat16"",""ScalarList""]",991
aten::view,"[[64],[]]","[""int"",""ScalarList""]",991
c10d::_allgather_base_,"[[128,124160],[64,124160],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"","""",""Scalar"",""Scalar""]",991
record_param_comms,"[[64,124160],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"","""","""",""Scalar"","""",""ScalarList"",""ScalarList"",""Scalar"",""Scalar"",""Scalar""]",991
vllm::all_gather,"[[64,124160],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""""]",991
_C_custom_ar::all_reduce,"[[],[64,2048],[64,2048],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",990
aten::_local_scalar_dense,[[]],"[""float""]",990
aten::add,"[[64],[64],[]]","[""long int"",""long int"",""Scalar""]",990
aten::as_strided,"[[3,64],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""""]",990
aten::as_strided,"[[3659,3,4096],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",990
aten::as_strided,"[[64,1],[],[],[]]","[""bool"",""ScalarList"",""ScalarList"",""""]",990
aten::clone,"[[3,64],[]]","[""long int"",""Scalar""]",990
aten::contiguous,"[[3,64],[]]","[""long int"",""Scalar""]",990
aten::copy_,"[[64,2048],[64,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",990
aten::embedding,"[[124160,2048],[64],[],[],[]]","[""c10::BFloat16"",""long int"",""Scalar"",""Scalar"",""Scalar""]",990
aten::empty_like,"[[3,64],[],[],[],[],[]]","[""long int"",""Scalar"","""","""","""",""Scalar""]",990
aten::empty_like,"[[3,64],[],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"","""","""",""Scalar""]",990
aten::empty_like,"[[64,2048],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",990
aten::empty_like,"[[64],[],[],[],[],[]]","[""long int"",""Scalar"","""","""",""Scalar"",""""]",990
aten::expand,"[[3,64],[],[]]","[""long int"",""ScalarList"",""Scalar""]",990
aten::expand,"[[64,1],[],[]]","[""bool"",""ScalarList"",""Scalar""]",990
aten::expand_as,"[[3,64],[3,64]]","[""long int"",""long int""]",990
aten::index,"[[3659,16,128,128],[]]","[""float"",""""]",990
aten::index_select,"[[2097152],[],[64],[64]]","[""int"",""Scalar"",""long int"",""int""]",990
aten::item,[[]],"[""float""]",990
aten::lift_fresh,[[64]],"[""long int""]",990
aten::lift_fresh,[[]],"[""float""]",990
aten::masked_fill_,"[[64,2048],[64,1],[]]","[""c10::BFloat16"",""bool"",""Scalar""]",990
aten::reshape,"[[64],[]]","[""bool"",""ScalarList""]",990
aten::transpose,"[[3659,3,4096],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",990
aten::unsqueeze,"[[64],[]]","[""bool"",""Scalar""]",990
aten::view,"[[4096,1,4],[]]","[""c10::BFloat16"",""ScalarList""]",990
aten::view,"[[64],[]]","[""bool"",""ScalarList""]",990
aten::zero_,[[64]],"[""bool""]",990
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,"[[64],[64],[64],[],[],[],[],[],[]]","[""int"",""long int"",""bool"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",990
vllm::all_reduce,"[[64,2048],[]]","[""c10::BFloat16"",""""]",990
aten::_to_copy,"[[4],[],[],[],[],[],[]]","[""int"",""Scalar"","""","""","""",""Scalar"",""""]",959
aten::copy_,"[[4],[4],[]]","[""long int"",""int"",""Scalar""]",959
aten::to,"[[4],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""""]",959
aten::as_strided,"[[1,8192,16,128],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",930
aten::as_strided,"[[4096,8192],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",930
aten::as_strided,"[[8192,4096],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",930
aten::copy_,"[[8192,16,128],[8192,16,128],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",930
aten::empty_like,"[[4096,8192],[],[],[],[],[]]","[""c10::BFloat16"","""","""","""",""Scalar"",""""]",930
aten::mm,"[[8192,2048],[2048,32],[8192,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",930
aten::mm,"[[8192,2048],[2048,6144],[8192,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",930
aten::squeeze,"[[1,8192,16,128],[]]","[""c10::BFloat16"",""Scalar""]",930
aten::transpose,"[[4096,8192],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",930
aten::transpose,"[[8192,4096],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",930
triton_per_fused_1,"[[8192,16,128],[128],[8192,16,128],[131072,128],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",930
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,"[[131072,128],[8192,2048],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",930
triton_poi_fused_add_4,"[[8192,2048],[8192,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",930
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,"[[8192,2048],[8192,2048],[2048],[8192,2048],[8192,2048],[8192,2048],[8192,2048],[8192,2048],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",930
vllm::qwen_gdn_attention_core,"[[8192,4096],[8192,16],[8192,16],[8192,16,128],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""",""Scalar""]",930
aten::_to_copy,"[[],[],[],[],[],[],[]]","[""long int"",""Scalar"","""","""","""",""Scalar"",""""]",873
aten::copy_,"[[],[],[]]","[""int"",""long int"",""Scalar""]",873
aten::to,"[[],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""""]",873
aten::_index_put_impl_,"[[3,16,128,128],[],[],[],[]]","[""float"","""",""float"",""Scalar"",""Scalar""]",870
aten::_index_put_impl_,"[[3659,16,128,128],[],[3,16,128,128],[],[]]","[""float"","""",""float"",""Scalar"",""Scalar""]",870
aten::as_strided,"[[3,1,1,1],[],[],[]]","[""bool"",""ScalarList"",""ScalarList"",""""]",870
aten::bitwise_not,[[3]],"[""bool""]",870
aten::empty_like,"[[3],[],[],[],[],[]]","[""bool"",""Scalar"","""","""",""Scalar"",""""]",870
aten::expand,"[[3,1,1,1],[],[]]","[""bool"",""ScalarList"",""Scalar""]",870
aten::index_put_,"[[3,16,128,128],[],[],[]]","[""float"","""",""float"",""Scalar""]",870
aten::index_put_,"[[3659,16,128,128],[],[3,16,128,128],[]]","[""float"","""",""float"",""Scalar""]",870
aten::masked_fill_,"[[3,16,128,128],[3,1,1,1],[]]","[""float"",""bool"",""Scalar""]",870
aten::reshape,"[[3,1,1],[]]","[""bool"",""ScalarList""]",870
aten::reshape,"[[3,1],[]]","[""bool"",""ScalarList""]",870
aten::reshape,"[[3],[]]","[""bool"",""ScalarList""]",870
aten::unsqueeze,"[[3,1,1],[]]","[""bool"",""Scalar""]",870
aten::unsqueeze,"[[3,1],[]]","[""bool"",""Scalar""]",870
aten::unsqueeze,"[[3],[]]","[""bool"",""Scalar""]",870
aten::view,"[[3,1,1],[]]","[""bool"",""ScalarList""]",870
aten::view,"[[3,1],[]]","[""bool"",""ScalarList""]",870
aten::view,"[[3],[]]","[""bool"",""ScalarList""]",870
aten::as_strided,"[[1,1],[],[],[]]","[""float"",""ScalarList"",""ScalarList"",""""]",660
aten::as_strided,"[[2048,4608],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",660
aten::expand,"[[],[],[]]","[""float"",""ScalarList"",""Scalar""]",660
aten::numpy_T,"[[2048,4608]]","[""c10::BFloat16""]",660
aten::permute,"[[2048,4608],[]]","[""c10::BFloat16"",""ScalarList""]",660
aten::unbind,"[[3659,2,1056,1,256],[]]","[""c10::BFloat16"",""Scalar""]",660
aten::view,"[[],[]]","[""float"",""ScalarList""]",660
triton_poi_fused_0,"[[8192,16,128],[]]","[""c10::BFloat16"",""Scalar""]",651
aten::as_strided,"[[8192,8,256],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",620
aten::slice,"[[8192,8,256],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",620
triton_poi_fused_5,"[[8192,32],[8192,16],[8192,16],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",620
aten::view,"[[4096,2048],[]]","[""c10::BFloat16"",""ScalarList""]",441
aten::view,"[[5089,2048],[]]","[""c10::BFloat16"",""ScalarList""]",441
aten::mm,"[[8192,2048],[2048,4608],[8192,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",310
triton_poi_fused_0,"[[3,8192],[1048576,64],[8192,32],[8192,32],[],[]]","[""long int"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",310
triton_poi_fused_5,"[[8192,4608],[8192,8,256],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",310
triton_poi_fused_7,"[[8192,4608],[8192,8,1],[256],[8192,32],[8192,32],[8192,1,1],[256],[8192,8,64],[8192,8,192],[8192,1,64],[8192,1,192],[],[],[],[]]","[""c10::BFloat16"",""float"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""float"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",310
triton_poi_fused_add_2,"[[8192,2048],[8192,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",310
triton_red_fused_6,"[[8192,4608],[8192,8,1],[8192,1,1],[],[]]","[""c10::BFloat16"",""float"",""float"",""Scalar"",""Scalar""]",310
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,"[[8192,2048],[8192,2048],[2048],[8192,2048],[8192,2048],[8192,2048],[8192,2048],[8192,2048],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",310
vllm::unified_attention_with_output,"[[8192,8,256],[8192,1,256],[8192,1,256],[8192,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",310
vllm::unified_kv_cache_update,"[[8192,1,256],[8192,1,256],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",310
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""","""",""""]",293
aten::arange,"[[],[],[],[0]]","[""Scalar"",""Scalar"",""Scalar"",""long int""]",280
aten::arange,"[[],[],[],[],[]]","[""Scalar"","""","""","""",""Scalar""]",280
aten::resize_,"[[0],[],[]]","[""long int"",""ScalarList"",""""]",280
