operator_name,kernel_name,kernel_call_count,kernel_time_us,percent
aten::embedding,embedding_kernel,288,1528.876,0.009%
aten::fill_,fill_scalar_kernel,403,368.189,0.002%
aten::index,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",288,619.999,0.004%
aten::index,"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",287,533.441,0.003%
aten::index,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",1,3.583,<0.001%
aten::masked_fill_,masked_fill_kernel_kernel_rank_2,287,3553.694,0.022%
aten::mm,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,5757,499496.925,3.043%
aten::mm,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,1881,464030.757,2.827%
aten::mm,nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT,1866,103983.685,0.634%
aten::mm,nvjet_tst_96x64_64x10_2x1_v_bz_TNN,232,14014.954,0.085%
aten::mm,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_split_k_kernel__5x_cublas,1881,12874.401,0.078%
aten::mm,nvjet_tst_128x232_64x4_2x1_v_bz_coopA_TNT,126,5431.27,0.033%
aten::mm,nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,57,4651.461,0.028%
aten::mm,nvjet_tst_192x80_64x6_1x2_h_bz_TNT,57,2245.317,0.014%
aten::mm,nvjet_tst_96x128_64x7_2x1_v_bz_TNN,57,1962.906,0.012%
aten::mm,nvjet_tst_128x40_64x10_4x1_v_bz_TNT,8,506.435,0.003%
aten::mm,nvjet_tst_128x56_64x9_4x1_v_bz_TNT,8,504.353,0.003%
aten::mm,nvjet_tst_128x48_64x9_4x1_v_bz_TNT,8,498.339,0.003%
aten::mm,nvjet_tst_128x32_64x10_4x1_v_bz_TNT,8,494.729,0.003%
aten::mm,nvjet_tst_128x24_64x11_4x1_v_bz_TNT,8,493.801,0.003%
aten::mm,nvjet_tst_64x16_64x16_4x1_v_bz_TNT,8,470.383,0.003%
aten::mm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,8,466.002,0.003%
aten::mul_,mul_scalar_kernel,1881,123650.983,0.753%
aten::sub,sub_func_kernel_rank_1,576,595.613,0.004%
aten::sub,sub_func_tensor_scalar_kernel_rank_1,354,373.83,0.002%
aten::zero_,zeros_kernel,27,24.797,<0.001%
aten::zeros,zeros_kernel,3762,3511.56,0.021%
record_param_comms,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),288,51988.778,0.317%
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,288,360.715,0.002%
triton_poi_fused_clamp_mul_sigmoid_slice_0,triton_poi_fused_clamp_mul_sigmoid_slice_0,1980,17220.347,0.105%
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),3994,3699441.161,22.539%
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),254,46438.405,0.283%
vllm::moe_forward_shared,fused_moe_kernel,3762,1396023.936,8.505%
vllm::moe_forward_shared,moe_sum_kernel,1881,307942.839,1.876%
vllm::moe_forward_shared,_swiglu_oai_kernel,1881,38606.941,0.235%
vllm::moe_forward_shared,moe_align_block_size_stage4,1881,7060.334,0.043%
vllm::moe_forward_shared,moe_align_block_size_stage1,1881,5818.234,0.035%
vllm::moe_forward_shared,moe_align_block_size_stage2_vec,1881,3555.513,0.022%
vllm::moe_forward_shared,moe_align_block_size_stage3,1881,2529.956,0.015%
vllm::unified_attention_with_output,kernel_unified_attention,99,53130.051,0.324%
vllm::unified_kv_cache_update,reshape_and_cache_kernel_flash,99,1736.259,0.011%
null,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),30600,2066807.008,12.592%
null,fused_moe_kernel,29070,2034672.379,12.396%
null,_gqa_sparse_fwd_kernel,1881,1528966.203,9.315%
null,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign_0,34560,658231.86,4.010%
null,_topk_index_partial_kernel,16359,478679.182,2.916%
null,_decode_index_score_kernel,16359,458522.04,2.794%
null,_gqa_sparse_decode_kernel,16359,395302.517,2.408%
null,nvjet_tst_64x32_64x16_4x2_h_bz_splitK_TNT,27963,194842.717,1.187%
null,void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_tn_align1>(cutlass_80_simt_sgemm_64x64_8x5_tn_align1::Params),13623,132819.888,0.809%
null,_index_block_score_kernel,1881,81896.303,0.499%
null,nvjet_tst_72x64_64x12_4x1_v_bz_TNN,15057,74473.698,0.454%
null,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",30600,63648.88,0.388%
null,"void vllm::moe::topkGating<4, 128, 4, 16, 32, int, float, (vllm::moe::ScoringFunc)1>(float const*, bool const*, float*, int, int*, int*, int, int, int, bool, float const*)",14535,60577.27,0.369%
null,nvjet_tst_48x64_64x15_2x1_v_bz_TNN,13623,54553.132,0.332%
null,kernel_unified_attention,765,52429.068,0.319%
null,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",13623,48214.672,0.294%
null,moe_align_block_size_stage4,14307,46664.219,0.284%
null,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",13623,40549.481,0.247%
null,"void vllm::minimax_m3_fused_ops::fusedMiniMaxM3QNormRopeKVInsertKernel<c10::BFloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0, c10::BFloat16, true, true, false>(c10::BFloat16*, c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, c10::BFloat16 const*, c10::BFloat16 const*, c10::BFloat16 const*, c10::BFloat16 const*, long const*, long const*, long const*, __nv_bfloat16*, c10::BFloat16*, float, int, int, int, int, int, int, long, long, long, long)",14535,39087.226,0.238%
null,moe_align_block_size_stage2_vec,14307,37483.152,0.228%
null,memcpy32_post,29070,37023.561,0.226%
null,zeros_kernel,28614,36795.189,0.224%
null,moe_sum_kernel,14535,35357.252,0.215%
null,_merge_topk_attn_out_kernel,16359,34556.759,0.211%
null,triton_poi_fused_clamp_mul_sigmoid_slice_0,15300,34524.783,0.210%
null,moe_align_block_size_stage3,14307,30017.93,0.183%
null,_topk_index_merge_kernel,16359,29114.63,0.177%
null,moe_align_block_size_stage1,14307,28757.472,0.175%
null,_topk_index_kernel,1881,26667.29,0.162%
null,add_func_kernel_rank_1,14535,25475.465,0.155%
null,mul_scalar_kernel,14535,21064.255,0.128%
null,_swiglu_oai_kernel,14535,20707.836,0.126%
null,nvjet_tst_64x64_64x13_4x1_v_bz_splitK_TNT,717,6820.58,0.042%
null,nvjet_tst_64x32_64x16_4x1_v_bz_splitK_TNT,960,6094.358,0.037%
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 32, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",456,4557.098,0.028%
null,nvjet_tst_64x32_64x16_4x1_v_bz_TNT,960,4284.966,0.026%
null,reduce_segments,765,3139.147,0.019%
null,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,480,3084.499,0.019%
null,nvjet_tst_64x16_64x16_4x1_v_bz_splitK_TNT,480,2976.713,0.018%
null,nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT,480,2944.599,0.018%
null,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign16o61441_tensorptrbf16gmemalign128o614461441___True_2__0,288,2896.773,0.018%
null,nvjet_tst_64x16_64x16_4x1_v_bz_TNT,480,2100.07,0.013%
null,"void vllm::minimax_m3_fused_ops::fusedMiniMaxM3QNormRopeKVInsertKernel<c10::BFloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0, c10::BFloat16, false, false, false>(c10::BFloat16*, c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, c10::BFloat16 const*, c10::BFloat16 const*, c10::BFloat16 const*, c10::BFloat16 const*, long const*, long const*, long const*, __nv_bfloat16*, c10::BFloat16*, float, int, int, int, int, int, int, long, long, long, long)",765,1757.851,0.011%
null,reshape_and_cache_kernel_flash,765,1195.105,0.007%
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 16, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",228,1132.181,0.007%
null,_compute_slot_mapping_kernel,288,911.441,0.006%
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 8, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",114,432.035,0.003%
null,full_func_scalar_kernel_rank_1,228,374.977,0.002%
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 4, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",57,191.745,0.001%
null,"void fp32_router_gemm_kernel<__nv_bfloat16, 128, 2, 128, 6144>(float*, __nv_bfloat16 const*, float const*)",57,163.916,<0.001%
null,masked_fill_kernel_kernel_rank_2,1,1.6,<0.001%
