operator,input_shapes,input_dtypes,actual_capture_call_count,runtime_call_count,runtime_cpu_duration_total_us,runtime_kernel_event_count,runtime_kernel_time_total_us,runtime_kernel_time_avg_per_call_us,runtime_kernel_time_pct_of_all_runtime_kernels,observed_in
_C::per_token_group_fp8_quant,"[[8192,1024],[8192,1024],[8192,8],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,3317,47310.251,3317,77777.480,23.448,0.317696,runtime
_C::per_token_group_fp8_quant,"[[8192,256],[8192,256],[8192,2],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,1333,18870.648,1333,8217.284,6.165,0.033565,runtime
_C::per_token_group_fp8_quant,"[[8192,4096],[8192,4096],[8192,32],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::Float8_e4m3fn"",""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,2666,52509.922,2666,201550.289,75.600,0.823269,runtime
_C::persistent_topk,"[[34,8192],[34,1],[34,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,280.107,21,108.448,5.164,0.000443,runtime
_C::persistent_topk,"[[36,8192],[36,1],[36,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,268.924,21,110.019,5.239,0.000449,runtime
_C::persistent_topk,"[[38,8192],[38,1],[38,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,263.734,21,108.706,5.176,0.000444,runtime
_C::persistent_topk,"[[40,8192],[40,1],[40,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,265.966,21,108.358,5.160,0.000443,runtime
_C::persistent_topk,"[[42,8192],[42,1],[42,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,270.014,21,108.992,5.190,0.000445,runtime
_C::persistent_topk,"[[44,8192],[44,1],[44,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,265.325,21,108.673,5.175,0.000444,runtime
_C::persistent_topk,"[[46,8192],[46,1],[46,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,262.031,21,110.083,5.242,0.000450,runtime
_C::persistent_topk,"[[48,8192],[48,1],[48,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,265.216,21,108.451,5.164,0.000443,runtime
_C::persistent_topk,"[[50,8192],[50,1],[50,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,269.660,21,107.553,5.122,0.000439,runtime
_C::persistent_topk,"[[52,8192],[52,1],[52,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,281.204,21,109.472,5.213,0.000447,runtime
_C::persistent_topk,"[[54,8192],[54,1],[54,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,289.526,21,110.148,5.245,0.000450,runtime
_C::persistent_topk,"[[56,8192],[56,1],[56,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,263.095,21,107.811,5.134,0.000440,runtime
_C::persistent_topk,"[[58,8192],[58,1],[58,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,266.562,21,107.810,5.134,0.000440,runtime
_C::persistent_topk,"[[60,8192],[60,1],[60,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,263.351,21,108.194,5.152,0.000442,runtime
_C::persistent_topk,"[[62,8192],[62,1],[62,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",0,21,271.896,21,108.799,5.181,0.000444,runtime
_C::persistent_topk,"[[64,8192],[64,1],[64,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",42,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::silu_and_mul_with_clamp,"[[12,256],[12,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",86,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::silu_and_mul_with_clamp,"[[192,256],[192,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",172,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::silu_and_mul_with_clamp,"[[24,256],[24,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",86,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::silu_and_mul_with_clamp,"[[24576,256],[24576,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",0,43,562.850,43,720.655,16.759,0.002944,runtime
_C::silu_and_mul_with_clamp,"[[30534,256],[30534,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",0,43,669.995,43,875.450,20.359,0.003576,runtime
_C::silu_and_mul_with_clamp,"[[384,256],[384,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",172,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::silu_and_mul_with_clamp,"[[48,256],[48,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",86,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::silu_and_mul_with_clamp,"[[49152,256],[49152,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",0,1333,17275.167,1333,42101.775,31.584,0.171972,runtime
_C::silu_and_mul_with_clamp,"[[6,256],[6,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",86,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::silu_and_mul_with_clamp,"[[96,256],[96,512],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar""]",86,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::top_k_per_row_prefill,"[[4096,1024],[4096],[4096],[4096,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,240.174,21,734.643,34.983,0.003001,runtime
_C::top_k_per_row_prefill,"[[5027,2048],[5027],[5027],[5027,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,208.999,21,1017.714,48.463,0.004157,runtime
_C::top_k_per_row_prefill,"[[8132,2839],[8132],[8132],[8132,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,212.695,21,1387.709,66.081,0.005668,runtime
_C::top_k_per_row_prefill,"[[8134,2854],[8134],[8134],[8134,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,215.298,21,1380.570,65.741,0.005639,runtime
_C::top_k_per_row_prefill,"[[8136,2868],[8136],[8136],[8136,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,218.665,21,1410.399,67.162,0.005761,runtime
_C::top_k_per_row_prefill,"[[8138,2882],[8138],[8138],[8138,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,234.878,21,1407.744,67.035,0.005750,runtime
_C::top_k_per_row_prefill,"[[8140,2896],[8140],[8140],[8140,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,232.408,21,1399.937,66.664,0.005718,runtime
_C::top_k_per_row_prefill,"[[8142,2909],[8142],[8142],[8142,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,213.440,21,1392.829,66.325,0.005689,runtime
_C::top_k_per_row_prefill,"[[8144,2921],[8144],[8144],[8144,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,210.007,21,1395.294,66.443,0.005699,runtime
_C::top_k_per_row_prefill,"[[8146,2933],[8146],[8146],[8146,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,214.504,21,1389.663,66.174,0.005676,runtime
_C::top_k_per_row_prefill,"[[8148,2945],[8148],[8148],[8148,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,210.963,21,1385.050,65.955,0.005657,runtime
_C::top_k_per_row_prefill,"[[8150,2956],[8150],[8150],[8150,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,216.232,21,1378.753,65.655,0.005632,runtime
_C::top_k_per_row_prefill,"[[8152,2966],[8152],[8152],[8152,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,214.412,21,1405.406,66.924,0.005741,runtime
_C::top_k_per_row_prefill,"[[8154,2976],[8154],[8154],[8154,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,212.484,21,1398.814,66.610,0.005714,runtime
_C::top_k_per_row_prefill,"[[8156,2986],[8156],[8156],[8156,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,213.467,21,1402.212,66.772,0.005728,runtime
_C::top_k_per_row_prefill,"[[8158,2995],[8158],[8158],[8158,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,213.710,21,1400.093,66.671,0.005719,runtime
_C::top_k_per_row_prefill,"[[8160,3003],[8160],[8160],[8160,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,213.313,21,1394.844,66.421,0.005697,runtime
_C::top_k_per_row_prefill,"[[8162,3011],[8162],[8162],[8162,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,223.091,21,1395.136,66.435,0.005699,runtime
_C::top_k_per_row_prefill,"[[8164,3019],[8164],[8164],[8164,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,228.069,21,1391.316,66.253,0.005683,runtime
_C::top_k_per_row_prefill,"[[8166,3026],[8166],[8166],[8166,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,207.619,21,1395.205,66.438,0.005699,runtime
_C::top_k_per_row_prefill,"[[8168,3032],[8168],[8168],[8168,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,208.477,21,1391.461,66.260,0.005684,runtime
_C::top_k_per_row_prefill,"[[8170,3038],[8170],[8170],[8170,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,212.870,21,1386.312,66.015,0.005663,runtime
_C::top_k_per_row_prefill,"[[8172,3044],[8172],[8172],[8172,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,210.075,21,1387.812,66.086,0.005669,runtime
_C::top_k_per_row_prefill,"[[8174,3049],[8174],[8174],[8174,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,224.039,21,1390.309,66.205,0.005679,runtime
_C::top_k_per_row_prefill,"[[8176,3053],[8176],[8176],[8176,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,219.707,21,1386.760,66.036,0.005664,runtime
_C::top_k_per_row_prefill,"[[8178,3057],[8178],[8178],[8178,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,210.475,21,1398.819,66.610,0.005714,runtime
_C::top_k_per_row_prefill,"[[8180,3061],[8180],[8180],[8180,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,209.564,21,1404.356,66.874,0.005736,runtime
_C::top_k_per_row_prefill,"[[8182,3064],[8182],[8182],[8182,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,207.019,21,1407.554,67.026,0.005749,runtime
_C::top_k_per_row_prefill,"[[8184,3066],[8184],[8184],[8184,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,218.351,21,1400.386,66.685,0.005720,runtime
_C::top_k_per_row_prefill,"[[8186,3068],[8186],[8186],[8186,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,216.056,21,1395.749,66.464,0.005701,runtime
_C::top_k_per_row_prefill,"[[8188,3070],[8188],[8188],[8188,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,213.355,21,1401.861,66.755,0.005726,runtime
_C::top_k_per_row_prefill,"[[8189,2047],[8189],[8189],[8189,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,201.466,21,1400.021,66.668,0.005719,runtime
_C::top_k_per_row_prefill,"[[8191,2047],[8191],[8191],[8191,512],[],[],[],[]]","[""float"",""int"",""int"",""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",0,21,211.004,21,1394.591,66.409,0.005696,runtime
_C::weak_ref_tensor,"[[1,4096]]","[""c10::BFloat16""]",2,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[16,4096]]","[""c10::BFloat16""]",2,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[2,4096]]","[""c10::BFloat16""]",2,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[32,4096]]","[""c10::BFloat16""]",4,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[4,4096]]","[""c10::BFloat16""]",2,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[64,4096]]","[""c10::BFloat16""]",4,0,0.000,0,0.000,0.000,0.000000,actual_capture
_C::weak_ref_tensor,"[[8,4096]]","[""c10::BFloat16""]",2,0,0.000,0,0.000,0.000,0.000000,actual_capture
