operator,input_shapes,input_dtypes,metadata_status,call_count
_C_custom_ar::all_reduce,"[[],[1,2048],[1,2048],[],[]]","[""Scalar"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,160
aten::as_strided,"[[1,8],[],[],[]]","[""float"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,160
aten::as_strided,"[[1,8],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,160
aten::empty_like,"[[1,1],[],[],[],[],[]]","[""c10::BFloat16"",""Scalar"","""","""",""Scalar"",""""]",shape_and_dtype,160
aten::linear,"[[1,2048],[1,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",shape_and_dtype,160
aten::linear,"[[1,2048],[256,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",shape_and_dtype,160
aten::linear,"[[1,2048],[512,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",shape_and_dtype,160
aten::linear,"[[1,256],[2048,256],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",shape_and_dtype,160
aten::mm,"[[1,2048],[2048,2048],[1,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",shape_and_dtype,160
aten::mul,"[[1,1],[1,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",shape_and_dtype,160
aten::record_stream,"[[1,2048],[]]","[""c10::BFloat16"",""""]",shape_and_dtype,160
aten::result_type,"[[1,1],[1,2048]]","[""c10::BFloat16"",""c10::BFloat16""]",shape_and_dtype,160
aten::sigmoid,"[[1,1]]","[""c10::BFloat16""]",shape_and_dtype,160
aten::slice,"[[1,8],[],[],[],[]]","[""float"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,160
aten::slice,"[[1,8],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,160
aten::view,"[[1,1],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,160
aten::view,"[[1,512],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,160
aten::view,"[[1,8,2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,160
aten::view,"[[1,8,512],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,160
aten::view,"[[1,8],[]]","[""int"",""ScalarList""]",shape_and_dtype,160
aten::view,"[[2048],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,160
aten::view,"[[4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,160
triton_poi_fused_mul_silu_slice_0,"[[1,512],[1,256],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,160
vllm::all_reduce,"[[1,2048],[]]","[""c10::BFloat16"",""""]",shape_and_dtype,160
vllm::flashinfer_trtllm_fused_allreduce_norm,"[[1,2048],[1,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",shape_and_dtype,160
vllm::moe_forward_shared,"[[1,2048],[1,2048],[1,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",shape_and_dtype,160
aten::as_strided,"[[1],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,148
aten::slice,"[[1],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,148
_C::weak_ref_tensor,"[[1,16,128]]","[""c10::BFloat16""]",shape_and_dtype,120
_C::weak_ref_tensor,"[[1,16]]","[""c10::BFloat16""]",shape_and_dtype,120
aten::as_strided,"[[1,16],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,120
aten::mm,"[[1,2048],[2048,32],[1,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",shape_and_dtype,120
aten::mm,"[[1,2048],[2048,6144],[1,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",shape_and_dtype,120
aten::slice,"[[1,16],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,120
aten::to,"[[1,4096],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""""]",shape_and_dtype,120
triton_per_fused_1,"[[1,16,128],[128],[1,16,128],[16,128],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,120
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,"[[16,128],[1,2048],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,120
triton_poi_fused_add_4,"[[1,2048],[1,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",shape_and_dtype,120
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,"[[1,2048],[1,2048],[2048],[1,2048],[1,2048],[1,2048],[1,2048],[1,2048],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,120
vllm::qwen_gdn_attention_core,"[[1,4096],[1,16],[1,16],[1,16,128],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""",""Scalar""]",shape_and_dtype,120
triton_poi_fused_0,"[[1,16,128],[]]","[""c10::BFloat16"",""Scalar""]",shape_and_dtype,84
aten::as_strided,"[[2048,4608],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,80
aten::numpy_T,"[[2048,4608]]","[""c10::BFloat16""]",shape_and_dtype,80
aten::permute,"[[2048,4608],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,80
triton_poi_fused_5,"[[1,32],[1,16],[1,16],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,80
_C::weak_ref_tensor,"[[1,4096]]","[""c10::BFloat16""]",shape_and_dtype,60
aten::as_strided,"[[1,16,128],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,60
aten::as_strided,"[[1,2,1056,1,256],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,60
aten::as_strided,"[[1,4096,1],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,60
aten::as_strided,"[[1,4096],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,60
aten::as_strided,"[[3672,2,1056,1,256],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,60
aten::reshape,"[[1,16,128],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,60
aten::reshape,"[[1,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,60
aten::slice,"[[1,16,128],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,60
aten::slice,"[[1,4096],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,60
aten::squeeze,"[[1,4096,1],[]]","[""c10::BFloat16"",""Scalar""]",shape_and_dtype,60
aten::unsqueeze,"[[1,16,128],[]]","[""c10::BFloat16"",""Scalar""]",shape_and_dtype,60
aten::unsqueeze,"[[1,4096],[]]","[""c10::BFloat16"",""Scalar""]",shape_and_dtype,60
aten::view,"[[1,16,128],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,60
aten::view,"[[1,4096],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,60
aten::view,"[[4096,1,4],[]]","[""c10::BFloat16"",""ScalarList""]",shape_and_dtype,60
_C::weak_ref_tensor,"[[1,1,256]]","[""c10::BFloat16""]",shape_and_dtype,40
_C::weak_ref_tensor,"[[1,8,256]]","[""c10::BFloat16""]",shape_and_dtype,40
aten::as_strided,"[[1,1],[],[],[]]","[""float"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,40
aten::as_strided,"[[1,8,256],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,40
aten::as_strided,"[[2],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,40
aten::expand,"[[],[],[]]","[""float"",""ScalarList"",""Scalar""]",shape_and_dtype,40
aten::mm,"[[1,2048],[2048,4608],[1,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",shape_and_dtype,40
aten::slice,"[[1,8,256],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,40
aten::view,"[[],[]]","[""float"",""ScalarList""]",shape_and_dtype,40
triton_poi_fused_0,"[[3,1],[1048576,64],[1,32],[1,32],[],[]]","[""long int"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,40
triton_poi_fused_5,"[[1,4608],[1,8,256],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",shape_and_dtype,40
triton_poi_fused_7,"[[1,4608],[1,8,1],[256],[1,32],[1,32],[1,1,1],[256],[1,8,64],[1,8,192],[1,1,64],[1,1,192],[],[],[],[]]","[""c10::BFloat16"",""float"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""float"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,40
triton_poi_fused_add_2,"[[1,2048],[1,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",shape_and_dtype,40
triton_red_fused_6,"[[1,4608],[1,8,1],[1,1,1],[],[]]","[""c10::BFloat16"",""float"",""float"",""Scalar"",""Scalar""]",shape_and_dtype,40
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,"[[1,2048],[1,2048],[2048],[1,2048],[1,2048],[1,2048],[1,2048],[1,2048],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,40
vllm::unified_attention_with_output,"[[1,8,256],[1,1,256],[1,1,256],[1,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",shape_and_dtype,40
vllm::unified_kv_cache_update,"[[1,1,256],[1,1,256],[]]","[""c10::BFloat16"",""c10::BFloat16"",""""]",shape_and_dtype,40
triton_poi_fused_0,"[[1,8,256],[1,2048],[1,2048],[1,16,128],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,36
triton_poi_fused_3,"[[1,32],[1,16],[1,16],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,36
aten::slice,"[[2],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,34
aten::as_strided,"[[1,1],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,30
aten::as_strided,"[[1,3,4096],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,30
aten::as_strided,"[[3672,3,4096],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,30
aten::transpose,"[[1,3,4096],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,30
aten::transpose,"[[3672,3,4096],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,30
aten::unbind,"[[1,2,1056,1,256],[]]","[""c10::BFloat16"",""Scalar""]",shape_and_dtype,30
aten::unbind,"[[3672,2,1056,1,256],[]]","[""c10::BFloat16"",""Scalar""]",shape_and_dtype,30
aten::slice,"[[1,1],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,24
aten::fill_,"[[1,8,256],[]]","[""c10::BFloat16"",""Scalar""]",shape_and_dtype,20
aten::as_strided,"[[8192],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,18
aten::empty_like,"[[1],[],[],[],[],[]]","[""int"",""Scalar"","""","""",""Scalar"",""""]",shape_and_dtype,18
aten::slice,"[[8192],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,18
aten::as_strided,"[[1],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,16
aten::fill_,"[[0],[]]","[""long int"",""Scalar""]",shape_and_dtype,16
aten::slice,"[[1],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,16
aten::copy_,"[[1],[1],[]]","[""int"",""int"",""Scalar""]",shape_and_dtype,14
aten::sub,"[[1],[1],[]]","[""int"",""int"",""Scalar""]",shape_and_dtype,12
aten::as_strided,"[[1,32],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,8
aten::copy_,"[[2],[2],[]]","[""int"",""int"",""Scalar""]",shape_and_dtype,8
aten::fill_,"[[0],[]]","[""int"",""Scalar""]",shape_and_dtype,8
aten::slice,"[[1,32],[],[],[],[]]","[""int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,8
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""int"",""Scalar"",""Scalar"","""","""",""Scalar"",""""]",shape_and_dtype,6
aten::as_strided,"[[1],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,6
aten::as_strided,"[[2],[],[],[]]","[""int"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,6
aten::copy_,"[[1,1],[1,1],[]]","[""int"",""int"",""Scalar""]",shape_and_dtype,6
aten::diff,"[[2],[],[],[],[]]","[""int"",""Scalar"",""Scalar"","""",""""]",shape_and_dtype,6
aten::fill_,"[[0,1],[]]","[""int"",""Scalar""]",shape_and_dtype,6
aten::fill_,"[[0],[]]","[""int"",""int""]",shape_and_dtype,6
aten::moveaxis,"[[1],[],[]]","[""int"",""Scalar"",""Scalar""]",shape_and_dtype,6
aten::movedim,"[[1],[],[]]","[""int"",""ScalarList"",""ScalarList""]",shape_and_dtype,6
aten::permute,"[[1],[]]","[""int"",""ScalarList""]",shape_and_dtype,6
aten::permute,"[[2],[]]","[""int"",""ScalarList""]",shape_and_dtype,6
aten::select,"[[1,1],[],[]]","[""int"",""Scalar"",""Scalar""]",shape_and_dtype,6
aten::select,"[[2],[],[]]","[""int"",""Scalar"",""Scalar""]",shape_and_dtype,6
aten::sub,"[[1],[],[]]","[""int"",""long int"",""Scalar""]",shape_and_dtype,6
aten::to,"[[1],[],[],[],[],[],[],[]]","[""int"",""Scalar"",""Scalar"","""","""",""Scalar"",""Scalar"",""""]",shape_and_dtype,6
aten::_to_copy,"[[1],[],[],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"","""","""",""Scalar"",""""]",shape_and_dtype,4
aten::as_strided,"[[1,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""""]",shape_and_dtype,4
aten::as_strided,"[[3,8193],[],[],[]]","[""long int"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,4
aten::as_strided,"[[8192,2048],[],[],[]]","[""c10::BFloat16"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,4
aten::copy_,"[[1],[1],[]]","[""long int"",""long int"",""Scalar""]",shape_and_dtype,4
aten::empty,"[[],[],[],[],[],[]]","[""ScalarList"",""Scalar"","""","""","""",""""]",shape_and_dtype,4
aten::index,"[[1,2048],[]]","[""c10::BFloat16"",""""]",shape_and_dtype,4
aten::lift_fresh,[[1]],"[""long int""]",shape_and_dtype,4
aten::reshape,"[[1],[]]","[""long int"",""ScalarList""]",shape_and_dtype,4
aten::slice,"[[3,8193],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,4
aten::slice,"[[8192,2048],[],[],[],[]]","[""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,4
aten::to,"[[1],[],[],[],[],[],[],[]]","[""long int"",""Scalar"",""Scalar"","""","""",""Scalar"",""Scalar"",""""]",shape_and_dtype,4
aten::view,"[[1],[]]","[""long int"",""ScalarList""]",shape_and_dtype,4
triton_poi_fused_2,"[[1,32],[1,16],[1,16],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,4
triton_poi_fused_mul_sigmoid_view_0,"[[1,8,256],[1,2048],[1,2048],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",shape_and_dtype,4
triton_red_fused_1,"[[1,2048],[2048],[1,2048],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar""]",shape_and_dtype,4
aten::as_strided,"[[1],[],[],[]]","[""bool"",""ScalarList"",""ScalarList"",""Scalar""]",shape_and_dtype,2
aten::copy_,"[[0],[],[]]","[""bool"",""bool"",""Scalar""]",shape_and_dtype,2
aten::copy_,"[[1,32],[1,32],[]]","[""int"",""int"",""Scalar""]",shape_and_dtype,2
aten::copy_,"[[1],[],[]]","[""int"",""int"",""Scalar""]",shape_and_dtype,2
aten::fill_,"[[0,32],[]]","[""int"",""Scalar""]",shape_and_dtype,2
aten::fill_,"[[0],[]]","[""bool"",""bool""]",shape_and_dtype,2
aten::fill_,"[[1],[]]","[""int"",""int""]",shape_and_dtype,2
aten::lift_fresh,[[]],"[""bool""]",shape_and_dtype,2
aten::lift_fresh,[[]],"[""int""]",shape_and_dtype,2
aten::lt,"[[1],[1]]","[""int"",""int""]",shape_and_dtype,2
aten::slice,"[[1],[],[],[],[]]","[""bool"",""Scalar"",""Scalar"",""Scalar"",""Scalar""]",shape_and_dtype,2
